ClassFeature	Model	R2	RMS
C0_Basal_L	poly1	0.00347630933020404	0.0542879169067682
C0_Basal_L	poly2	0.201823684337994	0.0501791319156531
C0_Basal_L	poly3	0.254062487942945	0.0502118891079612
C0_Basal_L	exp1	0.00358183932415068	0.0542850423362603
C0_Basal_L	exp2	0.238918125656704	0.0507190402322213
C0_Basal_R	poly1	0.135801954414967	0.0337116408413529
C0_Basal_R	poly2	0.156550510430526	0.0356039977435459
C0_Basal_R	poly3	0.320826319841479	0.0345090531589971
C0_Basal_R	exp1	0.13505901166053	0.0337261285151166
C0_Basal_R	exp2	0.305552615530879	0.0348949269144896
C2_Basal_L	poly1	0.172871844658969	0.0390888001009527
C2_Basal_L	poly2	0.225905279732287	0.0385946736676667
C2_Basal_L	poly3	0.365782245562931	0.0356854535720682
C2_Basal_L	exp1	0.170876571235435	0.0391359184735967
C2_Basal_L	exp2	0.330535571205543	0.0366636565909077
C2_Basal_R	poly1	0.234575131139465	0.0425091946469739
C2_Basal_R	poly2	0.299895757946217	0.0414932383700343
C2_Basal_R	poly3	0.303094454055356	0.0422887296897804
C2_Basal_R	exp1	0.238355111486117	0.0424041008625189
C2_Basal_R	exp2	0.302047168317117	0.0423204927869996
C2_PeakProm_L	poly1	0.338782596518463	0.114498340854973
C2_PeakProm_L	poly2	0.446061769628193	0.113196010320476
C2_PeakProm_L	poly3	0.491803462563477	0.118770045901549
C2_PeakProm_L	exp1	0.428819137111107	0.106417702800421
C2_PeakProm_L	exp2	0.431781519528991	0.125588175345315
C2_PeakProm_R	poly1	0.343512461739014	0.0865104026007161
C2_PeakProm_R	poly2	0.612801665441466	0.0684835554641835
C2_PeakProm_R	poly3	0.614362154824331	0.0705868407714344
C2_PeakProm_R	exp1	0.567558988396808	0.0702131612817384
C2_PeakProm_R	exp2	0.618716193476309	0.0701872297538242
C2_PeakTime_R	poly1	0.0135402701597476	10.5638613074238
C2_PeakTime_R	poly2	0.0666561250366727	10.5917646123061
C2_PeakTime_R	poly3	0.0671867688547589	10.936017342683
C2_Plateau_L	poly1	0.47498480441294	0.198545561331654
C2_Plateau_L	poly2	0.870931720199773	0.106330388704872
C2_Plateau_R	poly1	NaN	6.66133814775094e-16
C2_Plateau_R	poly2	NaN	NaN
C0_Basal_L	poly1	0.00347630933020426	0.0542879169067682
C0_Basal_L	poly2	0.201823684337994	0.0501791319156531
C0_Basal_L	poly3	0.254062487942945	0.0502118891079612
C0_Basal_L	exp1	0.00358183932415579	0.0542850423362601
C0_Basal_L	exp2	0.238918125680926	0.0507190402314142
C0_Basal_R	poly1	0.109648025650038	0.0360067516465318
C0_Basal_R	poly2	0.161641104174134	0.0377390934443801
C0_Basal_R	poly3	0.317664858387251	0.0372963187150485
C0_Basal_R	exp1	0.108621094871314	0.0360275107320242
C0_Basal_R	exp2	0.325137475082727	0.0370915305287724
C2_Basal_L	poly1	0.19348528626352	0.0383299474143442
C2_Basal_L	poly2	0.235797242899259	0.0380498584728678
C2_Basal_L	poly3	0.375003718136776	0.0351197847931512
C2_Basal_L	exp1	0.191502767154095	0.038377028522082
C2_Basal_L	exp2	0.343482328519787	0.0359945160960948
C2_Basal_R	poly1	0.234575131139464	0.042509194646974
C2_Basal_R	poly2	0.299895757946217	0.0414932383700343
C2_Basal_R	poly3	0.303094454055356	0.0422887296897804
C2_Basal_R	exp1	0.238355111486117	0.0424041008625189
C2_Basal_R	exp2	0.302047168317791	0.0423204927869792
C2_PeakProm_L	poly1	0.289992928417556	0.11106430176983
C2_PeakProm_L	poly2	0.298848759235197	0.117989940051862
C2_PeakProm_L	poly3	0.491652029737857	0.108515823061219
C2_PeakProm_L	exp1	0.281544668110124	0.111723115943887
C2_PeakProm_L	exp2	0.451053537842122	0.112765829027049
C2_PeakProm_R	poly1	0.343512461739014	0.0865104026007161
C2_PeakProm_R	poly2	0.612801665441466	0.0684835554641835
C2_PeakProm_R	poly3	0.61436215482433	0.0705868407714344
C2_PeakProm_R	exp1	0.567558988396809	0.0702131612817383
C2_PeakProm_R	exp2	0.618716193474633	0.0701872297539785
C2_PeakTime_R	poly1	0.0135402701597472	10.5638613074238
C2_PeakTime_R	poly2	0.0666561250366727	10.5917646123061
C2_PeakTime_R	poly3	0.0671867688547593	10.936017342683
C2_Plateau_L	poly1	0.47498480441294	0.198545561331654
C2_Plateau_L	poly2	0.870931720199773	0.106330388704872
C2_Plateau_R	poly1	NaN	3.14018491736755e-16
C2_Plateau_R	poly2	NaN	NaN
C0_Basal_L	poly1	0.00347630933020426	0.0542879169067682
C0_Basal_L	poly2	0.201823684337994	0.0501791319156531
C0_Basal_L	poly3	0.254062487942945	0.0502118891079612
C0_Basal_L	exp1	0.00358183932415579	0.0542850423362601
C0_Basal_L	exp2	0.238918125680926	0.0507190402314142
C0_Basal_R	poly1	0.109648025650038	0.0360067516465318
