ClassFeature	Model	R2	RMS
C0_Basal_L	poly1	0.0155850159224383	0.0173091469225293
C0_Basal_L	poly2	0.10404271339676	0.0166416698054441
C0_Basal_L	poly3	0.104862459764221	0.016765551558213
C0_Basal_L	exp1	0.0156909525087527	0.0173082155463814
C0_Basal_L	exp2	0.104601381484287	0.0167679963234318
C0_Basal_R	poly1	0.576145665055501	0.0252327534712264
C0_Basal_R	poly2	0.590617583150995	0.0251311208752453
C0_Basal_R	poly3	0.608182513296485	0.0249252076543517
C0_Basal_R	exp1	0.578667593515743	0.0251575741776713
C0_Basal_R	exp2	0.616418650402799	0.0246618481474873
C2_Basal_L	poly1	0.0936034910267914	0.0258738348096814
C2_Basal_L	poly2	0.110155937925628	0.0266833096157807
C2_Basal_L	poly3	0.17120179833399	0.0268968501015353
C2_Basal_L	exp1	0.0941192952467133	0.02586647173388
C2_Basal_L	exp2	0.136677536801962	0.0274513396442255
C2_Basal_R	poly1	0.163945930768792	0.0188303372167996
C2_Basal_R	poly2	0.212132462597618	0.0188095891760433
C2_Basal_R	poly3	0.213618551134456	0.0193701866725843
C2_Basal_R	exp1	0.164902224105583	0.0188195649002151
C2_Basal_R	exp2	0.213419602769638	0.0193726367706024
C2_PeakProm_L	poly1	0.412461690559953	0.101725250569708
C2_PeakProm_L	poly2	0.472428107173741	0.10068059627756
C2_PeakProm_L	poly3	0.472481144901552	0.105589392271325
C2_PeakProm_L	exp1	0.470993113064026	0.0965253392371564
C2_PeakProm_L	exp2	0.471097336929222	0.105727794664868
C2_PeakProm_R	poly1	0.361906844018066	0.118580739003623
C2_PeakProm_R	poly2	0.475736276047748	0.110792785849169
C2_PeakProm_R	poly3	0.477532949281294	0.114230057116754
C2_PeakProm_R	exp1	0.450134237545964	0.110077979353994
C2_PeakProm_R	exp2	0.455504116552031	0.116613341713512
C2_PeakTime_R	poly1	0.0258920862439549	8.31616775099593
C2_PeakTime_R	poly2	0.332547045040155	7.0956878962404
C2_PeakTime_R	poly3	0.580454909235936	5.81015687241838
C2_Plateau_L	poly1	0.219141810647164	0.271351556334516
C2_Plateau_L	poly2	0.219631121889752	0.282343150045679
C2_Plateau_R	poly1	0.0918615890068073	0.246555235860415
C2_Plateau_R	poly2	0.186938742803848	0.240942938422845
